,text,event_type,clean_text
4993,"Substitution, Ajaccio. Richard Socrier replaces Ilan.",7,substitution ajaccio richard socrier replaces ilan
4994,"Substitution, Ajaccio. Damien TibA©ri replaces Christian Kinkela.",7,substitution ajaccio damien tibari replaces christian kinkela
4995,Foul by Mehdi Mostefa (Ajaccio).,3,foul mehdi mostefa ajaccio
4996,Saber Khelifa (Evian Thonon Gaillard) wins a free kick on the left wing.,8,saber khelifa evian thonon gaillard win free kick leave wing
4997,Foul by Johan Cavalli (Ajaccio).,3,foul johan cavalli ajaccio
4998,Jerome Leroy (Evian Thonon Gaillard) wins a free kick in the attacking half.,8,jerome leroy evian thonon gaillard win free kick attack half
4999,Johan Cavalli (Ajaccio) wins a free kick in the attacking half.,8,johan cavalli ajaccio win free kick attack half
5000,Foul by Mohammed Rabiu (Evian Thonon Gaillard).,3,foul mohammed rabiu evian thonon gaillard
5001,"Substitution, Evian Thonon Gaillard. KA©vin Berigaud replaces Yannick Sagbo.",7,substitution evian thonon gaillard kavin berigaud replaces yannick sagbo
5002,Foul by Johan Cavalli (Ajaccio).,3,foul johan cavalli ajaccio
5003,Brice Dja DjedjA© (Evian Thonon Gaillard) wins a free kick on the right wing.,8,brice dja djedja evian thonon gaillard win free kick right wing
5004,"Goal!  Ajaccio 1, Evian Thonon Gaillard 1. KA©vin Berigaud (Evian Thonon Gaillard) right footed shot from the centre of the box to the bottom left corner. Assisted by Mohammed Rabiu.",1,goal ajaccio evian thonon gaillard kavin berigaud evian thonon gaillard right foot shot centre box bottom leave corner assist mohammed rabiu
5005,"Offside, Ajaccio. Damien TibA©ri tries a through ball, but Richard Socrier is caught offside.",9,offside ajaccio damien tibari try ball richard socrier catch offside
5006,"Substitution, Ajaccio. Paul Lasne replaces Johan Cavalli.",7,substitution ajaccio paul lasne replaces johan cavalli
5007,Attempt missed. Saber Khelifa (Evian Thonon Gaillard) right footed shot from a difficult angle on the left misses to the right. Assisted by KA©vin Berigaud with a headed pass.,1,attempt miss saber khelifa evian thonon gaillard right foot shot difficult angle leave miss right assist kavin berigaud head pas
5008,Foul by Benjamin Andre (Ajaccio).,3,foul benjamin andre ajaccio
5009,Brice Dja DjedjA© (Evian Thonon Gaillard) wins a free kick in the defensive half.,8,brice dja djedja evian thonon gaillard win free kick defensive half
5010,Benjamin Andre (Ajaccio) is shown the yellow card for a bad foul.,4,benjamin andre ajaccio show yellow card bad foul
5011,Damien TibA©ri (Ajaccio) wins a free kick on the left wing.,8,damien tibari ajaccio win free kick leave wing
5012,Foul by Eric TiA© Bi (Evian Thonon Gaillard).,3,foul eric tia bi evian thonon gaillard
5013,Foul by Leyti N'Diaye (Ajaccio).,3,foul leyti n diaye ajaccio
5014,KA©vin Berigaud (Evian Thonon Gaillard) wins a free kick in the defensive half.,8,kavin berigaud evian thonon gaillard win free kick defensive half
5015,Foul by Carl Medjani (Ajaccio).,3,foul carl medjani ajaccio
5016,Olivier Sorlin (Evian Thonon Gaillard) wins a free kick in the attacking half.,8,olivier sorlin evian thonon gaillard win free kick attack half
5017,Mehdi Mostefa (Ajaccio) wins a free kick in the defensive half.,8,mehdi mostefa ajaccio win free kick defensive half
5018,"Offside, Ajaccio. Carl Medjani tries a through ball, but Richard Socrier is caught offside.",9,offside ajaccio carl medjani try ball richard socrier catch offside
5019,Richard Socrier (Ajaccio) wins a free kick on the left wing.,8,richard socrier ajaccio win free kick leave wing
5020,Foul by Mohammed Rabiu (Evian Thonon Gaillard).,3,foul mohammed rabiu evian thonon gaillard
5021,Mohammed Rabiu (Evian Thonon Gaillard) is shown the yellow card for a bad foul.,4,mohammed rabiu evian thonon gaillard show yellow card bad foul
5022,Attempt saved. Leyti N'Diaye (Ajaccio) header from the centre of the box is saved in the centre of the goal. Assisted by Damien TibA©ri with a cross.,1,attempt save leyti n diaye ajaccio header centre box save centre goal assist damien tibari cross
5023,Attempt missed. Paul Lasne (Ajaccio) right footed shot from outside the box is high and wide to the left. Assisted by Benjamin Andre.,1,attempt miss paul lasne ajaccio right foot shot outside box high wide leave assisted benjamin andre
5024,"Attempt missed. Mohammed Rabiu (Evian Thonon Gaillard) left footed shot from the left side of the box is close, but misses to the left. Assisted by Fabrice Ehret.",1,attempt miss mohammed rabiu evian thonon gaillard leave foot shot leave side box close miss leave assisted fabrice ehret
5025,"Corner,  Evian Thonon Gaillard. Conceded by Leyti N'Diaye.",2,corner evian thonon gaillard concede leyti n diaye
5026,"Substitution, Evian Thonon Gaillard. Cedric Barbosa replaces Saber Khelifa.",7,substitution evian thonon gaillard cedric barbosa replaces saber khelifa
5027,Attempt missed. Benjamin Andre (Ajaccio) right footed shot from outside the box misses to the left. Assisted by Paul Lasne.,1,attempt miss benjamin andre ajaccio right foot shot outside box miss leave assisted paul lasne
5028,Foul by Carl Medjani (Ajaccio).,3,foul carl medjani ajaccio
5029,Jerome Leroy (Evian Thonon Gaillard) wins a free kick in the attacking half.,8,jerome leroy evian thonon gaillard win free kick attack half
5030,"Corner,  Evian Thonon Gaillard. Conceded by Guillermo Ochoa.",2,corner evian thonon gaillard concede guillermo ochoa
5031,Guillermo Ochoa (Ajaccio) wins a free kick in the defensive half.,8,guillermo ochoa ajaccio win free kick defensive half
5032,Foul by CA©dric Cambon (Evian Thonon Gaillard).,3,foul cadric cambon evian thonon gaillard
5033,Attempt missed. Mohammed Rabiu (Evian Thonon Gaillard) right footed shot from the right side of the box is high and wide to the right. Assisted by Jerome Leroy.,1,attempt miss mohammed rabiu evian thonon gaillard right foot shot right side box high wide right assist jerome leroy
5034,Foul by Richard Socrier (Ajaccio).,3,foul richard socrier ajaccio
5035,Olivier Sorlin (Evian Thonon Gaillard) wins a free kick in the defensive half.,8,olivier sorlin evian thonon gaillard win free kick defensive half
5036,Anthony Lippini (Ajaccio) wins a free kick in the defensive half.,8,anthony lippini ajaccio win free kick defensive half
5037,Foul by Mohammed Rabiu (Evian Thonon Gaillard).,3,foul mohammed rabiu evian thonon gaillard
5038,Lukas Schmitz (SV Werder Bremen) wins a free kick in the attacking half.,8,lukas schmitz sv werder bremen win free kick attack half
5039,Foul by Julian Schuster (SC Freiburg).,3,foul julian schuster sc freiburg
5040,"Corner,  SV Werder Bremen. Conceded by Pavel Krmas.",2,corner sv werder bremen concede pavel krmas
5041,"Offside, SV Werder Bremen. Aaron Hunt tries a through ball, but Claudio Pizarro is caught offside.",9,offside sv werder bremen aaron hunt try ball claudio pizarro catch offside
5042,"Goal!  SV Werder Bremen 0, SC Freiburg 1. Papiss Demba Cisse (SC Freiburg) with an attempt from very close range to the top left corner. Assisted by Johannes Flum with a cross.",1,goal sv werder bremen sc freiburg papiss demba cisse sc freiburg attempt close range top leave corner assist johannes flum cross
5043,Foul by Markus Rosenberg (SV Werder Bremen).,3,foul markus rosenberg sv werder bremen
5044,Pavel Krmas (SC Freiburg) wins a free kick in the defensive half.,8,pavel krmas sc freiburg win free kick defensive half
5045,Hand ball by Yacine Abdessadki (SC Freiburg).,10,hand ball yacine abdessadki sc freiburg
5046,Markus Rosenberg (SV Werder Bremen) wins a free kick on the left wing.,8,markus rosenberg sv werder bremen win free kick leave wing
5047,Attempt missed. Aaron Hunt (SV Werder Bremen) left footed shot from outside the box is high and wide to the left.,1,attempt miss aaron hunt sv werder bremen leave foot shot outside box high wide leave
5048,Foul by Oliver Barth (SC Freiburg).,3,foul oliver barth sc freiburg
5049,Foul by Philipp Bargfrede (SV Werder Bremen).,3,foul philipp bargfrede sv werder bremen
5050,Per Mertesacker (SV Werder Bremen) wins a free kick in the defensive half.,8,per mertesacker sv werder bremen win free kick defensive half
5051,Cedric Makiadi (SC Freiburg) wins a free kick in the attacking half.,8,cedric makiadi sc freiburg win free kick attack half
5052,Foul by Pavel Krmas (SC Freiburg).,3,foul pavel krmas sc freiburg
5053,Clemens Fritz (SV Werder Bremen) wins a free kick in the defensive half.,8,clemens fritz sv werder bremen win free kick defensive half
5054,Foul by Johannes Flum (SC Freiburg).,3,foul johannes flum sc freiburg
5055,Sokratis (SV Werder Bremen) wins a free kick on the right wing.,8,sokratis sv werder bremen win free kick right wing
5056,Attempt saved. Markus Rosenberg (SV Werder Bremen) right footed shot from the right side of the box is saved in the centre of the goal. Assisted by Sokratis with a cross.,1,attempt save markus rosenberg sv werder bremen right foot shot right side box save centre goal assist sokratis cross
5057,Foul by Yacine Abdessadki (SC Freiburg).,3,foul yacine abdessadki sc freiburg
5058,Foul by Claudio Pizarro (SV Werder Bremen).,3,foul claudio pizarro sv werder bremen
5059,Attempt missed. Felix Bastians (SC Freiburg) left footed shot from more than 35 yards is too high.,1,attempt miss felix bastians sc freiburg leave foot shot yard high
5060,Daniel Williams (SC Freiburg) wins a free kick in the defensive half.,8,daniel williams sc freiburg win free kick defensive half
5061,Foul by Philipp Bargfrede (SV Werder Bremen).,3,foul philipp bargfrede sv werder bremen
5062,Johannes Flum (SC Freiburg) wins a free kick in the defensive half.,8,johannes flum sc freiburg win free kick defensive half
5063,"Offside, SC Freiburg. Pavel Krmas tries a through ball, but Papiss Demba Cisse is caught offside.",9,offside sc freiburg pavel krmas try ball papiss demba cisse catch offside
5064,Attempt blocked. Philipp Bargfrede (SV Werder Bremen) right footed shot from outside the box is blocked. Assisted by Claudio Pizarro.,1,attempt block philipp bargfrede sv werder bremen right foot shot outside box block assisted claudio pizarro
5065,"Corner,  SV Werder Bremen. Conceded by Felix Bastians.",2,corner sv werder bremen concede felix bastians
5066,Attempt blocked. Markus Rosenberg (SV Werder Bremen) right footed shot from the right side of the six yard box is blocked. Assisted by Claudio Pizarro with a headed pass.,1,attempt block markus rosenberg sv werder bremen right foot shot right side six yard box block assisted claudio pizarro head pas
5067,"Corner,  SV Werder Bremen. Conceded by Daniel Williams.",2,corner sv werder bremen concede daniel williams
5068,Marko Marin (SV Werder Bremen) wins a free kick on the left wing.,8,marko marin sv werder bremen win free kick leave wing
5069,Foul by Cedric Makiadi (SC Freiburg).,3,foul cedric makiadi sc freiburg
5070,Attempt blocked. Lukas Schmitz (SV Werder Bremen) right footed shot from outside the box is blocked.,1,attempt block lukas schmitz sv werder bremen right foot shot outside box block
5071,"Corner,  SV Werder Bremen. Conceded by Oliver Baumann.",2,corner sv werder bremen concede oliver baumann
5072,Foul by Markus Rosenberg (SV Werder Bremen).,3,foul markus rosenberg sv werder bremen
5073,Oliver Baumann (SC Freiburg) wins a free kick in the defensive half.,8,oliver baumann sc freiburg win free kick defensive half
5074,Andreas Wolf (SV Werder Bremen) wins a free kick in the defensive half.,8,andreas wolf sv werder bremen win free kick defensive half
5075,Foul by Stefan Reisinger (SC Freiburg).,3,foul stefan reisinger sc freiburg
5076,Foul by Per Mertesacker (SV Werder Bremen).,3,foul per mertesacker sv werder bremen
5077,Cedric Makiadi (SC Freiburg) wins a free kick in the attacking half.,8,cedric makiadi sc freiburg win free kick attack half
5078,Sokratis (SV Werder Bremen) wins a free kick on the right wing.,8,sokratis sv werder bremen win free kick right wing
5079,Attempt saved. Julian Schuster (SC Freiburg) right footed shot from outside the box is saved in the bottom right corner. Assisted by Felix Bastians.,1,attempt save julian schuster sc freiburg right foot shot outside box save bottom right corner assist felix bastians
5080,"Offside, SC Freiburg. Julian Schuster tries a through ball, but Papiss Demba Cisse is caught offside.",9,offside sc freiburg julian schuster try ball papiss demba cisse catch offside
5081,Foul by Yacine Abdessadki (SC Freiburg).,3,foul yacine abdessadki sc freiburg
5082,Attempt missed. Marko Marin (SV Werder Bremen) right footed shot from outside the box is high and wide to the right following a set piece situation.,1,attempt miss marko marin sv werder bremen right foot shot outside box high wide right follow set piece situation
5083,"Goal!  SV Werder Bremen 1, SC Freiburg 1. Clemens Fritz (SV Werder Bremen) header from the centre of the box to the bottom left corner. Assisted by Lukas Schmitz with a cross.",1,goal sv werder bremen sc freiburg clemens fritz sv werder bremen header centre box bottom leave corner assist lukas schmitz cross
5084,Philipp Bargfrede (SV Werder Bremen) wins a free kick in the defensive half.,8,philipp bargfrede sv werder bremen win free kick defensive half
5085,Foul by Johannes Flum (SC Freiburg).,3,foul johannes flum sc freiburg
5086,"Corner,  SV Werder Bremen. Conceded by Felix Bastians.",2,corner sv werder bremen concede felix bastians
5087,Attempt blocked. Claudio Pizarro (SV Werder Bremen) header from the centre of the box is blocked. Assisted by Aaron Hunt with a cross.,1,attempt block claudio pizarro sv werder bremen header centre box block assisted aaron hunt cross
5088,Attempt missed. Lukas Schmitz (SV Werder Bremen) left footed shot from the centre of the box misses to the left following a corner.,1,attempt miss lukas schmitz sv werder bremen leave footed shot centre box miss leave follow corner
5089,Attempt saved. Claudio Pizarro (SV Werder Bremen) header from the left side of the six yard box is saved in the bottom left corner. Assisted by Lukas Schmitz.,1,attempt save claudio pizarro sv werder bremen header left side six yard box save bottom leave corner assist lukas schmitz
5090,Attempt missed. Per Mertesacker (SV Werder Bremen) header from very close range misses to the left. Assisted by Lukas Schmitz with a cross.,1,attempt miss per mertesacker sv werder bremen header close range miss leave assisted lukas schmitz cross
5091,Aaron Hunt (SV Werder Bremen) wins a free kick on the right wing.,8,aaron hunt sv werder bremen win free kick right wing
5092,Foul by Julian Schuster (SC Freiburg).,3,foul julian schuster sc freiburg
5093,"Goal!  SV Werder Bremen 2, SC Freiburg 1. Claudio Pizarro (SV Werder Bremen) right footed shot from the centre of the box to the bottom right corner. Assisted by Marko Marin following a fast break.",1,goal sv werder bremen sc freiburg claudio pizarro sv werder bremen right foot shot centre box bottom right corner assist marko marin follow fast break
5094,Attempt missed. Per Mertesacker (SV Werder Bremen) header from the centre of the box is high and wide to the right. Assisted by Aaron Hunt with a cross following a set piece situation.,1,attempt miss per mertesacker sv werder bremen header centre box high wide right assist aaron hunt cross follow set piece situation
5095,Lukas Schmitz (SV Werder Bremen) wins a free kick in the defensive half.,8,lukas schmitz sv werder bremen win free kick defensive half
5096,Foul by Papiss Demba Cisse (SC Freiburg).,3,foul papiss demba cisse sc freiburg
5097,"Offside, SV Werder Bremen. Andreas Wolf tries a through ball, but Claudio Pizarro is caught offside.",9,offside sv werder bremen andreas wolf try ball claudio pizarro catch offside
5098,Clemens Fritz (SV Werder Bremen) wins a free kick in the defensive half.,8,clemens fritz sv werder bremen win free kick defensive half
5099,Foul by Johannes Flum (SC Freiburg).,3,foul johannes flum sc freiburg
5100,Claudio Pizarro (SV Werder Bremen) wins a free kick on the right wing.,8,claudio pizarro sv werder bremen win free kick right wing
5101,Foul by Julian Schuster (SC Freiburg).,3,foul julian schuster sc freiburg
5102,"Attempt missed. Markus Rosenberg (SV Werder Bremen) left footed shot from the centre of the box is close, but misses to the left. Assisted by Clemens Fritz.",1,attempt miss markus rosenberg sv werder bremen leave footed shot centre box close miss leave assisted clemens fritz
5103,Claudio Pizarro (SV Werder Bremen) wins a free kick in the defensive half.,8,claudio pizarro sv werder bremen win free kick defensive half
5104,"Offside, SV Werder Bremen. Sokratis tries a through ball, but Clemens Fritz is caught offside.",9,offside sv werder bremen sokratis try ball clemens fritz catch offside
5105,Foul by Pavel Krmas (SC Freiburg).,3,foul pavel krmas sc freiburg
5106,Foul by Aaron Hunt (SV Werder Bremen).,3,foul aaron hunt sv werder bremen
5107,Daniel Williams (SC Freiburg) wins a free kick on the right wing.,8,daniel williams sc freiburg win free kick right wing
5108,Attempt saved. Yacine Abdessadki (SC Freiburg) header from the centre of the box is saved in the top centre of the goal. Assisted by Daniel Williams.,1,attempt save yacine abdessadki sc freiburg header centre box save top centre goal assist daniel williams
5109,"Corner,  SC Freiburg. Conceded by Tim Wiese.",2,corner sc freiburg concede tim wiese
5110,"Substitution, SC Freiburg. Daniel Caligiuri replaces Yacine Abdessadki.",7,substitution sc freiburg daniel caligiuri replaces yacine abdessadki
5111,Per Mertesacker (SV Werder Bremen) wins a free kick in the defensive half.,8,per mertesacker sv werder bremen win free kick defensive half
5112,Foul by Papiss Demba Cisse (SC Freiburg).,3,foul papiss demba cisse sc freiburg
5113,"Goal!  SV Werder Bremen 2, SC Freiburg 2. Papiss Demba Cisse (SC Freiburg) left footed shot from the centre of the box to the bottom left corner. Assisted by Daniel Caligiuri with a cross.",1,goal sv werder bremen sc freiburg papiss demba cisse sc freiburg leave foot shot centre box bottom leave corner assist daniel caligiuri cross
5114,Aaron Hunt (SV Werder Bremen) wins a free kick on the left wing.,8,aaron hunt sv werder bremen win free kick leave wing
5115,Attempt saved. Aaron Hunt (SV Werder Bremen) left footed shot from outside the box is saved in the bottom left corner. Assisted by Claudio Pizarro.,1,attempt save aaron hunt sv werder bremen leave foot shot outside box save bottom leave corner assist claudio pizarro
5116,"Corner,  SV Werder Bremen. Conceded by Oliver Baumann.",2,corner sv werder bremen concede oliver baumann
5117,Foul by Cedric Makiadi (SC Freiburg).,3,foul cedric makiadi sc freiburg
5118,Foul by Clemens Fritz (SV Werder Bremen).,3,foul clemens fritz sv werder bremen
5119,Cedric Makiadi (SC Freiburg) wins a free kick on the right wing.,8,cedric makiadi sc freiburg win free kick right wing
5120,Hand ball by Oliver Barth (SC Freiburg).,10,hand ball oliver barth sc freiburg
5121,Foul by Marko Marin (SV Werder Bremen).,3,foul marko marin sv werder bremen
5122,Felix Bastians (SC Freiburg) wins a free kick in the defensive half.,8,felix bastians sc freiburg win free kick defensive half
5123,Foul by Philipp Bargfrede (SV Werder Bremen).,3,foul philipp bargfrede sv werder bremen
5124,Johannes Flum (SC Freiburg) wins a free kick in the attacking half.,8,johannes flum sc freiburg win free kick attack half
5125,Attempt missed. Stefan Reisinger (SC Freiburg) right footed shot from the right side of the box is high and wide to the right.,1,attempt miss stefan reisinger sc freiburg right foot shot right side box high wide right
5126,"Corner,  SV Werder Bremen. Conceded by Oliver Barth.",2,corner sv werder bremen concede oliver barth
5127,Attempt blocked. Marko Marin (SV Werder Bremen) right footed shot from a difficult angle and long range on the left is blocked. Assisted by Aaron Hunt.,1,attempt block marko marin sv werder bremen right foot shot difficult angle long range leave block assisted aaron hunt
5128,"Corner,  SV Werder Bremen. Conceded by Stefan Reisinger.",2,corner sv werder bremen concede stefan reisinger
5129,Attempt missed. Per Mertesacker (SV Werder Bremen) header from the centre of the box misses to the right. Assisted by Marko Marin with a cross following a corner.,1,attempt miss per mertesacker sv werder bremen header centre box miss right assist marko marin cross follow corner
5130,Marko Marin (SV Werder Bremen) wins a free kick in the attacking half.,8,marko marin sv werder bremen win free kick attack half
5131,Foul by Julian Schuster (SC Freiburg).,3,foul julian schuster sc freiburg
5132,Julian Schuster (SC Freiburg) is shown the yellow card.,4,julian schuster sc freiburg show yellow card
5133,Philipp Bargfrede (SV Werder Bremen) wins a free kick in the defensive half.,8,philipp bargfrede sv werder bremen win free kick defensive half
5134,Foul by Johannes Flum (SC Freiburg).,3,foul johannes flum sc freiburg
5135,"Substitution, SV Werder Bremen. Marko Arnautovic replaces Markus Rosenberg.",7,substitution sv werder bremen marko arnautovic replaces markus rosenberg
5136,Tim Wiese (SV Werder Bremen) wins a free kick in the defensive half.,8,tim wiese sv werder bremen win free kick defensive half
5137,Attempt saved. Stefan Reisinger (SC Freiburg) right footed shot from the right side of the box is saved in the bottom left corner. Assisted by Oliver Barth.,1,attempt save stefan reisinger sc freiburg right foot shot right side box save bottom leave corner assist oliver barth
5138,Foul by Stefan Reisinger (SC Freiburg).,3,foul stefan reisinger sc freiburg
5139,Foul by Claudio Pizarro (SV Werder Bremen).,3,foul claudio pizarro sv werder bremen
5140,Oliver Barth (SC Freiburg) wins a free kick in the defensive half.,8,oliver barth sc freiburg win free kick defensive half
5141,Marko Arnautovic (SV Werder Bremen) wins a free kick in the defensive half.,8,marko arnautovic sv werder bremen win free kick defensive half
5142,Johannes Flum (SC Freiburg) is shown the yellow card.,4,johannes flum sc freiburg show yellow card
5143,"Goal!  SV Werder Bremen 3, SC Freiburg 2. Marko Arnautovic (SV Werder Bremen) header from the centre of the box to the bottom left corner. Assisted by Marko Marin with a cross.",1,goal sv werder bremen sc freiburg marko arnautovic sv werder bremen header centre box bottom leave corner assist marko marin cross
5144,Attempt blocked. Daniel Caligiuri (SC Freiburg) right footed shot from the centre of the box is blocked. Assisted by Stefan Reisinger.,1,attempt block daniel caligiuri sc freiburg right foot shot centre box block assisted stefan reisinger
5145,Foul by Marko Marin (SV Werder Bremen).,3,foul marko marin sv werder bremen
5146,Felix Bastians (SC Freiburg) wins a free kick in the defensive half.,8,felix bastians sc freiburg win free kick defensive half
5147,Foul by Sokratis (SV Werder Bremen).,3,foul sokratis sv werder bremen
5148,Marko Marin (SV Werder Bremen) wins a free kick in the defensive half.,8,marko marin sv werder bremen win free kick defensive half
5149,Foul by Daniel Williams (SC Freiburg).,3,foul daniel williams sc freiburg
5150,Attempt blocked. Claudio Pizarro (SV Werder Bremen) right footed shot from the centre of the box is blocked. Assisted by Marko Marin.,1,attempt block claudio pizarro sv werder bremen right foot shot centre box block assisted marko marin
5151,Attempt blocked. Sokratis (SV Werder Bremen) right footed shot from outside the box is blocked.,1,attempt block sokratis sv werder bremen right foot shot outside box block
5152,"Corner,  SV Werder Bremen. Conceded by Daniel Caligiuri.",2,corner sv werder bremen concede daniel caligiuri
5153,Foul by Lukas Schmitz (SV Werder Bremen).,3,foul lukas schmitz sv werder bremen
5154,Lukas Schmitz (SV Werder Bremen) is shown the yellow card for a bad foul.,4,lukas schmitz sv werder bremen show yellow card bad foul
5155,Papiss Demba Cisse (SC Freiburg) wins a free kick in the defensive half.,8,papiss demba cisse sc freiburg win free kick defensive half
5156,Hand ball by Aaron Hunt (SV Werder Bremen).,10,hand ball aaron hunt sv werder bremen
5157,Attempt missed. Marko Arnautovic (SV Werder Bremen) right footed shot from outside the box misses to the left.,1,attempt miss marko arnautovic sv werder bremen right foot shot outside box miss leave
5158,Hand ball by Stefan Reisinger (SC Freiburg).,10,hand ball stefan reisinger sc freiburg
5159,Stefan Reisinger (SC Freiburg) is shown the yellow card for hand ball.,4,stefan reisinger sc freiburg show yellow card hand ball
5160,Attempt blocked. Marko Arnautovic (SV Werder Bremen) right footed shot from outside the box is blocked. Assisted by Claudio Pizarro with a headed pass.,1,attempt block marko arnautovic sv werder bremen right foot shot outside box block assisted claudio pizarro head pas
5161,Sokratis (SV Werder Bremen) wins a free kick on the right wing.,8,sokratis sv werder bremen win free kick right wing
5162,Foul by Daniel Caligiuri (SC Freiburg).,3,foul daniel caligiuri sc freiburg
5163,"Substitution, SV Werder Bremen. Wesley replaces Clemens Fritz.",7,substitution sv werder bremen wesley replaces clemens fritz
5164,"Corner,  SV Werder Bremen. Conceded by Oliver Barth.",2,corner sv werder bremen concede oliver barth
5165,Aaron Hunt (SV Werder Bremen) wins a free kick on the right wing.,8,aaron hunt sv werder bremen win free kick right wing
5166,Foul by Daniel Caligiuri (SC Freiburg).,3,foul daniel caligiuri sc freiburg
5167,Hand ball by Julian Schuster (SC Freiburg).,10,hand ball julian schuster sc freiburg
5168,"Substitution, SC Freiburg. Garra Dembele replaces Cedric Makiadi.",7,substitution sc freiburg garra dembele replaces cedric makiadi
5169,Attempt missed. Papiss Demba Cisse (SC Freiburg) right footed shot from long range on the right is just a bit too high. Assisted by Johannes Flum.,1,attempt miss papiss demba cisse sc freiburg right foot shot long range right bit high assist johannes flum
5170,"Substitution, SV Werder Bremen. Mehmet Ekici replaces Claudio Pizarro.",7,substitution sv werder bremen mehmet ekici replaces claudio pizarro
5171,Attempt saved. Papiss Demba Cisse (SC Freiburg) header from the centre of the box is saved in the top right corner. Assisted by Felix Bastians with a cross.,1,attempt save papiss demba cisse sc freiburg header centre box save top right corner assist felix bastians cross
5172,"Goal!  SV Werder Bremen 3, SC Freiburg 3. Stefan Reisinger (SC Freiburg) right footed shot from the right side of the six yard box to the bottom right corner.",1,goal sv werder bremen sc freiburg stefan reisinger sc freiburg right foot shot right side six yard box bottom right corner
5173,Foul by Marko Arnautovic (SV Werder Bremen).,3,foul marko arnautovic sv werder bremen
5174,Julian Schuster (SC Freiburg) wins a free kick in the defensive half.,8,julian schuster sc freiburg win free kick defensive half
5175,Penalty SV Werder Bremen. Mehmet Ekici draws a foul in the penalty area.,11,penalty sv werder bremen mehmet ekici draw foul penalty area
5176,Pavel Krmas (SC Freiburg) is shown the yellow card for a bad foul.,4,pavel krmas sc freiburg show yellow card bad foul
5177,"Goal!  SV Werder Bremen 4, SC Freiburg 3. Aaron Hunt (SV Werder Bremen) converts the penalty with a left footed shot to the bottom right corner.",1,goal sv werder bremen sc freiburg aaron hunt sv werder bremen convert penalty left foot shot bottom right corner
5178,"Substitution, SC Freiburg. Erik Jendrisek replaces Johannes Flum.",7,substitution sc freiburg erik jendrisek replaces johannes flum
5179,"Goal!  SV Werder Bremen 5, SC Freiburg 3. Wesley (SV Werder Bremen) right footed shot from the left side of the box to the bottom right corner. Assisted by Marko Marin following a fast break.",1,goal sv werder bremen sc freiburg wesley sv werder bremen right foot shot left side box bottom right corner assist marko marin follow fast break
5180,"Corner,  SV Werder Bremen. Conceded by Pavel Krmas.",2,corner sv werder bremen concede pavel krmas
5181,Attempt blocked. Mehmet Ekici (SV Werder Bremen) right footed shot from the right side of the box is blocked. Assisted by Marko Marin.,1,attempt block mehmet ekici sv werder bremen right foot shot right side box block assisted marko marin
5182,"Corner,  SV Werder Bremen. Conceded by Stefan Reisinger.",2,corner sv werder bremen concede stefan reisinger
5183,Attempt missed. Mehmet Ekici (SV Werder Bremen) right footed shot from long range on the left is just a bit too high. Assisted by Marko Marin following a corner.,1,attempt miss mehmet ekici sv werder bremen right foot shot long range leave bit high assist marko marin follow corner
5184,Wesley (SV Werder Bremen) wins a free kick on the right wing.,8,wesley sv werder bremen win free kick right wing
5185,Foul by Sokratis (SV Werder Bremen).,3,foul sokratis sv werder bremen
5186,Foul by Daniel Caligiuri (SC Freiburg).,3,foul daniel caligiuri sc freiburg
5187,Daniel Caligiuri (SC Freiburg) wins a free kick in the defensive half.,8,daniel caligiuri sc freiburg win free kick defensive half
5188,"Goal!  Dijon 1, Lorient 0. Gregory Thil (Dijon) left footed shot from the right side of the six yard box to the bottom right corner. Assisted by Thomas Guerbert with a cross.",1,goal dijon lorient gregory thil dijon leave foot shot right side six yard box bottom right corner assist thomas guerbert cross
5189,"Corner,  Lorient. Conceded by Abdoulaye MA©itA©.",2,corner lorient concede abdoulaye maita
5190,"Corner,  Lorient. Conceded by Eric Bautheac.",2,corner lorient concede eric bautheac
5191,"Corner,  Lorient. Conceded by Gregory Thil.",2,corner lorient concede gregory thil
5192,Foul by Samuel Souprayen (Dijon).,3,foul samuel souprayen dijon
5193,Yann Jouffre (Lorient) wins a free kick in the defensive half.,8,yann jouffre lorient win free kick defensive half
5194,"Corner,  Lorient. Conceded by Samuel Souprayen.",2,corner lorient concede samuel souprayen
5195,Cedric Varrault (Dijon) wins a free kick in the defensive half.,8,cedric varrault dijon win free kick defensive half
5196,Foul by Lynel Kitambala (Lorient).,3,foul lynel kitambala lorient
5197,Foul by Cedric Varrault (Dijon).,3,foul cedric varrault dijon
5198,Mathias Autret (Lorient) wins a free kick on the left wing.,8,mathias autret lorient win free kick leave wing
5199,"Offside, Dijon. Eric Bautheac tries a through ball, but Gregory Thil is caught offside.",9,offside dijon eric bautheac try ball gregory thil catch offside
5200,Younousse Sankhare (Dijon) wins a free kick in the defensive half.,8,younousse sankhare dijon win free kick defensive half
5201,Foul by Jacques-Alaixys Romao (Lorient).,3,foul jacques alaixys romao lorient
5202,Hand ball by Lynel Kitambala (Lorient).,10,hand ball lynel kitambala lorient
5203,Foul by Younousse Sankhare (Dijon).,3,foul younousse sankhare dijon
5204,Mathieu Coutadeur (Lorient) wins a free kick in the attacking half.,8,mathieu coutadeur lorient win free kick attack half
5205,Foul by Abdoulaye MA©itA© (Dijon).,3,foul abdoulaye maita dijon
